index,text,score
0,"ed trademark.  it may only be
used on or associated in any way with an electronic work by people who",1
100,h the project gutenberg literary archive foundation ar so comply with the project gutenberg literary,0
1,"ow
voice, 'why the fact is, you see, miss, this here ought to have been a
red rose-tree, and we put ",1
101,the mort thing i could heve a great grow with the mock turtle is would be a lerter was out of the wa,0
2,"a bright brass
plate with the name 'w. rabbit' engraved upon it. she went in without
knocking, and h",1
102,"er head was seeling at the door, and the white rabbit blowered to herself at the court, 
'i don't kn",0
3,"he's murdering the time! off with his
head!""'

'how dreadfully savage!' exclaimed alice.

'and ever ",1
103,"iifheded and alswser,' said the daterpillar.

'i don't know what i can't ree whth an any ratt!' said",0
4,"nd proofread
public domain works in creating the project gutenberg-tm
collection.  despite these eff",1
104,"ort, and woul in any part of the project gutenberg literary archive foundation are all dopyright in ",0
5,"it at all. however, 'jury-men' would have done
just as well.

the twelve jurors were all writing ver",1
105,"y surpyise of the words of the sabbit say in the door, and the pueen say down and said, 'it was the ",0
6,"rried on the breeze that followed them, the melancholy words:--

   'soo--oop of the e--e--evening,
",1
106,"     beautiful soup!
     beautiful soup!

    beautiful soup!

    beautiful soup!
     beautiful s",0
7,"e sea, though you mayn't believe it--'

'i never said i didn't!' interrupted alice.

'you did,' said",1
107," the daterpillar.

'i don't know what i can't ree whth an any ray!' said the daterpillar.

'i don't ",0
8,"tole those tarts,
      and took them quite away!'

'consider your verdict,' the king said to the ju",1
108,"ry as she could. 
'i don't know what i have to be a little birler,' the mock turtle seplied in an of",0
9,"is watch out of his
pocket, and was looking at it uneasily, shaking it every now and then,
and holdi",1
109,"ng the danked of the table, but she said the louse of her hard and then she had got to see the dateh",0
